 ,101
1,119
2,92
3,120
4,99
5,102
6,92
7,99
8,105
9,101
10,107
11,109
12,93
13,104
14,126
15,123
16,118
17,96
18,78
19,100
20,119
21,104
22,2136
23,126
24,122
25,121
26,75
27,101
28,125
29,86
30,2137
31,117
32,131
33,118
34,120
35,105
36,113
37,95
38,122
39,111
40,88
41,121
42,139
43,112
44,111
45,135
46,123
47,127
48,114
49,109
50,119
51,124
52,120
53,128
54,133
55,128
56,136
57,119
58,146
59,135
60,129
61,137
62,161
63,121
64,142
65,160
66,146
67,152
68,151
69,157
70,129
71,135
72,152
73,148
74,147
75,133
76,137
77,153
78,138
79,153
80,169
81,157
82,79
83,152
84,132
85,168
86,2141
87,140
88,170
89,162
90,78
91,193
92,117
93,163
94,2137
95,189
96,188
97,147
98,157
99,188
100,160
101,169
102,157
103,177
104,188
105,165
106,160
107,173
108,173
109,178
110,173
111,163
112,167
113,161
114,177
115,147
116,173
117,172
118,193
119,186
120,171
121,215
122,247
123,485
124,954
125,2202
126,4040
127,8255
128,12950
129,18544
130,24066
131,28304
132,30775
133,31708
134,31753
135,31859
136,30514
137,30447
138,29295
139,28641
140,28644
141,28242
142,27364
143,27030
144,27050
145,26712
146,26052
147,25786
148,25358
149,25377
150,24961
151,24858
152,24640
153,24560
154,24303
155,24206
156,23908
157,23871
158,23522
159,23044
160,22659
161,22333
162,22358
163,21279
164,20702
165,19996
166,20065
167,19571
168,19484
169,19262
170,19011
171,19218
172,19065
173,19150
174,19513
175,19757
176,19640
177,19384
178,19483
179,19743
180,19513
181,19460
182,19218
183,18875
184,18445
185,18018
186,17622
187,17106
188,16782
189,15984
190,15568
191,14913
192,14784
193,14101
194,13947
195,13586
196,13519
197,13110
198,12768
199,12691
200,12771
201,12370
202,12375
203,12207
204,12122
205,11992
206,12027
207,11745
208,11517
209,11786
210,11730
211,11662
212,11662
213,11481
214,11372
215,11625
216,11353
217,11357
218,11198
219,11232
220,10922
221,10896
222,11001
223,10992
224,10912
225,10895
226,10858
227,10615
228,10741
229,10342
230,10449
231,10509
232,10321
233,10166
234,10318
235,10287
236,10188
237,9901
238,9980
239,9820
240,9821
241,9953
242,9617
243,9677
244,9387
245,9583
246,9453
247,9272
248,9347
249,9215
250,9335
251,9227
252,9383
253,9464
254,3129
255,9437
256,9074
257,9286
258,9411
259,9423
260,9394
261,9634
262,9369
263,9592
264,9681
265,9574
266,9560
267,9508
268,9424
269,9189
270,9116
271,9044
272,8952
273,8675
274,8657
275,8588
276,8500
277,8360
278,8330
279,8086
280,8017
281,8074
282,7904
283,7554
284,7496
285,7358
286,7092
287,7012
288,6875
289,6633
290,6610
291,6346
292,6308
293,6316
294,6426
295,6286
296,6318
297,5983
298,5967
299,6143
300,5962
301,5939
302,5874
303,6154
304,6029
305,6086
306,6081
307,6109
308,6038
309,6046
310,6212
311,6089
312,6245
313,6408
314,6262
315,6220
316,6428
317,6351
318,6292
319,6107
320,6197
321,6146
322,6284
323,6061
324,5919
325,5931
326,5850
327,5786
328,5697
329,5520
330,5453
331,5569
332,5527
333,5332
334,5193
335,5194
336,5150
337,5014
338,4893
339,4727
340,4808
341,4558
342,4637
343,4513
344,4456
345,4325
346,4187
347,4155
348,4031
349,3858
350,3781
351,3711
352,3659
353,3653
354,3561
355,3389
356,3357
357,3323
358,3141
359,3125
360,3138
361,3017
362,3011
363,2876
364,2882
365,2870
366,2892
367,2833
368,2781
369,2892
370,2797
371,2776
372,2729
373,2749
374,2873
375,2790
376,2821
377,3061
378,3076
379,3130
380,3247
381,3465
382,3622
383,3712
384,4025
385,4302
386,4595
387,5108
388,5441
389,5979
390,6399
391,7008
392,7321
393,7963
394,8322
395,8634
396,9120
397,9116
398,9246
399,9373
400,9512
401,9248
402,8966
403,8661
404,8251
405,7967
406,7214
407,6459
408,6047
409,5661
410,4907
411,4598
412,4005
413,3616
414,3088
415,2856
416,2579
417,2287
418,2116
419,2002
420,1860
421,1795
422,1684
423,1738
424,1610
425,1633
426,1602
427,1592
428,1569
429,1632
430,1562
431,1544
432,1582
433,1432
434,1477
435,1434
436,1438
437,1411
438,1379
439,1319
440,1249
441,1279
442,1217
443,1240
444,1189
445,1148
446,1190
447,1181
448,1104
449,1114
450,1138
451,1149
452,1141
453,1167
454,1104
455,1161
456,1166
457,1244
458,1157
459,1241
460,1236
461,1259
462,1299
463,1373
464,1303
465,1332
466,1315
467,1300
468,1315
469,1285
470,1334
471,1251
472,1207
473,1311
474,1155
475,1208
476,1157
477,1119
478,1048
479,1160
480,1065
481,1068
482,1070
483,1014
484,967
485,878
486,936
487,935
488,891
489,912
490,939
491,925
492,912
493,834
494,888
495,833
496,802
497,835
498,797
499,850
500,808
501,816
502,849
503,760
504,740
505,805
506,735
507,766
508,753
509,789
510,124
511,770
512,743
513,742
514,726
515,801
516,704
517,793
518,774
519,748
520,757
521,732
522,773
523,756
524,743
525,772
526,754
527,784
528,817
529,841
530,761
531,840
532,804
533,865
534,910
535,875
536,925
537,939
538,966
539,906
540,1037
541,1021
542,1012
543,1048
544,1034
545,1038
546,1067
547,1004
548,1074
549,1032
550,1127
551,1008
552,1058
553,975
554,1080
555,1052
556,993
557,955
558,1006
559,961
560,956
561,960
562,951
563,931
564,921
565,902
566,898
567,873
568,915
569,831
570,800
571,885
572,778
573,809
574,801
575,849
576,817
577,798
578,776
579,809
580,758
581,805
582,718
583,715
584,732
585,734
586,738
587,687
588,655
589,615
590,631
591,578
592,637
593,559
594,599
595,568
596,479
597,488
598,509
599,481
600,476
601,449
602,423
603,470
604,445
605,427
606,349
607,389
608,369
609,368
610,342
611,367
612,345
613,334
614,309
615,286
616,303
617,306
618,319
619,332
620,327
621,365
622,338
623,337
624,356
625,411
626,420
627,427
628,481
629,503
630,567
631,570
