 ,35
799,133
800,145
801,129
802,150
803,114
804,151
805,150
806,138
807,123
808,127
809,123
810,143
811,119
812,124
813,118
814,126
815,134
816,117
817,119
818,135
819,118
820,129
821,104
822,125
823,132
824,132
825,135
826,114
827,101
828,107
829,120
830,120
831,141
832,127
833,130
834,118
835,114
836,125
837,113
838,105
839,124
840,127
841,113
842,115
843,127
844,143
845,118
846,113
847,109
848,104
849,136
850,128
851,113
852,124
853,96
854,115
855,124
856,122
857,115
858,111
859,113
860,112
861,108
862,115
863,97
864,122
865,111
866,122
867,115
868,100
869,103
870,125
871,99
872,96
873,96
874,113
875,112
876,132
877,106
878,116
879,115
880,120
881,116
882,109
883,110
884,91
885,109
886,94
887,107
888,89
889,127
890,115
891,118
892,115
893,92
894,98
895,90
896,97
897,92
898,112
899,99
900,85
901,89
902,83
903,77
904,94
905,96
906,112
907,89
908,95
909,84
910,100
911,102
912,97
913,96
914,96
915,93
916,80
917,96
918,82
919,91
920,107
921,105
922,104
923,87
924,93
925,81
926,85
927,91
928,80
929,78
930,92
931,87
932,93
933,89
934,102
935,89
936,79
937,92
938,94
939,85
940,73
941,69
942,80
943,84
944,84
945,92
946,88
947,99
948,82
949,90
950,74
951,100
952,80
953,85
954,85
955,80
956,84
957,79
958,74
959,83
960,110
961,85
962,85
963,94
964,98
965,78
966,72
967,83
968,87
969,81
970,85
971,85
972,82
973,91
974,85
975,85
976,58
977,91
978,77
979,77
980,78
981,64
982,92
983,78
984,73
985,113
986,91
987,84
988,75
989,62
990,86
991,74
992,83
993,77
994,81
995,75
996,92
997,86
998,75
999,90
1000,91
1001,93
1002,95
1003,75
1004,103
1005,104
1006,83
1007,83
1008,71
1009,105
1010,86
1011,90
1012,84
1013,108
1014,97
1015,87
1016,89
1017,86
1018,80
1019,88
1020,81
1021,92
1022,85
1023,78
1024,96
1025,84
1026,93
1027,81
1028,104
1029,102
1030,76
1031,96
1032,99
1033,85
1034,95
1035,83
1036,93
1037,80
1038,101
1039,81
1040,86
1041,97
1042,75
1043,104
1044,106
1045,95
1046,96
1047,92
1048,92
1049,84
1050,101
1051,92
1052,109
1053,106
1054,93
1055,119
1056,95
1057,115
1058,102
1059,92
1060,86
1061,95
1062,113
1063,93
1064,100
1065,110
1066,105
1067,116
1068,99
1069,88
1070,118
1071,101
1072,110
1073,106
1074,118
1075,102
1076,96
1077,111
1078,102
1079,92
1080,98
1081,112
1082,92
1083,102
1084,95
1085,92
1086,97
1087,108
1088,114
1089,99
1090,103
1091,99
1092,114
1093,106
1094,111
1095,113
1096,107
1097,118
1098,110
1099,125
1100,104
1101,124
1102,114
1103,114
1104,103
1105,122
1106,121
1107,97
1108,107
1109,110
1110,124
1111,106
1112,104
1113,126
1114,100
1115,118
1116,107
1117,113
1118,104
1119,122
1120,106
1121,136
1122,116
1123,128
1124,102
1125,119
1126,118
1127,117
1128,123
1129,117
1130,102
1131,116
1132,119
1133,138
1134,138
1135,124
1136,125
1137,117
1138,107
1139,135
1140,135
1141,154
1142,133
1143,122
1144,140
1145,135
1146,141
1147,136
1148,114
1149,130
1150,134
1151,139
1152,127
1153,142
1154,146
1155,145
1156,128
1157,125
1158,131
1159,135
1160,134
1161,131
1162,139
1163,146
1164,143
1165,131
1166,141
1167,147
1168,143
1169,122
1170,134
1171,140
1172,149
1173,153
1174,132
1175,151
1176,131
1177,149
1178,147
1179,161
1180,158
1181,173
1182,152
1183,139
1184,171
1185,145
1186,165
1187,155
1188,154
1189,129
1190,145
1191,157
1192,157
1193,141
1194,138
1195,172
1196,151
1197,151
1198,169
1199,159
1200,153
1201,133
1202,168
1203,152
1204,140
1205,171
1206,179
1207,167
1208,188
1209,171
1210,157
1211,153
1212,183
1213,175
1214,157
1215,190
1216,160
1217,191
1218,153
1219,175
1220,179
1221,178
1222,191
1223,208
1224,205
1225,168
1226,198
1227,184
1228,182
1229,166
1230,205
1231,199
1232,191
1233,190
1234,177
1235,193
1236,190
1237,191
1238,174
1239,184
1240,190
1241,205
1242,178
1243,224
1244,178
1245,196
1246,211
1247,196
1248,220
1249,199
1250,199
1251,208
1252,190
1253,198
1254,203
1255,214
1256,208
1257,214
1258,219
1259,208
1260,196
1261,202
1262,220
1263,209
1264,252
1265,272
1266,227
1267,244
1268,229
1269,209
1270,243
1271,213
1272,215
1273,195
1274,230
1275,211
1276,218
1277,197
1278,220
1279,221
1280,228
1281,213
1282,232
1283,203
1284,199
1285,234
1286,234
1287,242
1288,244
1289,240
1290,254
1291,223
1292,227
1293,182
1294,242
1295,272
1296,230
1297,253
1298,228
1299,229
1300,241
1301,238
1302,242
1303,242
1304,261
1305,261
1306,287
1307,294
1308,291
1309,258
1310,257
1311,227
1312,237
1313,247
1314,215
1315,244
1316,272
1317,244
1318,241
1319,237
1320,234
1321,224
1322,257
1323,270
1324,261
1325,242
1326,235
1327,254
1328,247
1329,277
1330,253
1331,288
1332,256
1333,304
1334,272
1335,265
1336,260
1337,288
1338,278
1339,283
1340,277
1341,267
1342,296
1343,267
1344,290
1345,293
1346,277
1347,320
1348,322
1349,301
1350,330
1351,307
1352,285
1353,305
1354,316
1355,305
1356,261
