 ,105.0
153.0,24061.0
154.0,23446.0
155.0,23285.0
156.0,22913.0
157.0,23171.0
158.0,22307.0
159.0,21810.0
160.0,21473.0
161.0,20866.0
162.0,20632.0
163.0,19652.0
164.0,19462.0
165.0,19313.0
166.0,19289.0
167.0,19226.0
168.0,18882.0
169.0,19105.0
170.0,19097.0
171.0,19170.0
172.0,19363.0
173.0,19540.0
174.0,19710.0
175.0,19891.0
176.0,19729.0
177.0,19868.0
178.0,19589.0
179.0,19611.0
180.0,19071.0
181.0,18549.0
182.0,18005.0
183.0,17870.0
184.0,17465.0
185.0,16476.0
186.0,16189.0
187.0,15827.0
188.0,15320.0
189.0,14833.0
190.0,14235.0
191.0,13917.0
192.0,13655.0
193.0,13258.0
194.0,12980.0
195.0,13022.0
196.0,12600.0
197.0,12584.0
198.0,12444.0
199.0,12225.0
200.0,11988.0
201.0,12069.0
202.0,11842.0
203.0,11972.0
204.0,11778.0
205.0,11973.0
206.0,11899.0
207.0,11685.0
208.0,11548.0
209.0,11707.0
210.0,11844.0
211.0,11380.0
212.0,11510.0
213.0,11415.0
214.0,11585.0
215.0,11505.0
216.0,11406.0
217.0,10971.0
218.0,11085.0
219.0,11184.0
220.0,10839.0
221.0,10808.0
222.0,10780.0
223.0,10655.0
224.0,10660.0
225.0,10633.0
226.0,10581.0
227.0,10367.0
228.0,10304.0
229.0,10195.0
230.0,10147.0
231.0,9756.0
232.0,10055.0
233.0,9749.0
234.0,9662.0
235.0,9682.0
236.0,9605.0
237.0,9603.0
238.0,9263.0
239.0,9211.0
240.0,9208.0
241.0,9206.0
242.0,9064.0
243.0,9017.0
244.0,9011.0
245.0,8945.0
246.0,9034.0
247.0,8840.0
248.0,8921.0
249.0,8906.0
250.0,8812.0
251.0,8945.0
252.0,8990.0
253.0,8954.0
254.0,2184.0
255.0,9079.0
256.0,9114.0
257.0,9173.0
258.0,9129.0
259.0,9533.0
260.0,9395.0
261.0,9199.0
262.0,9175.0
263.0,9291.0
264.0,9139.0
265.0,9065.0
266.0,8888.0
267.0,9095.0
268.0,9040.0
269.0,8891.0
270.0,8540.0
271.0,8681.0
272.0,8608.0
273.0,8291.0
274.0,8308.0
275.0,8116.0
276.0,8025.0
277.0,7887.0
278.0,7866.0
279.0,7651.0
280.0,7461.0
281.0,7315.0
282.0,6951.0
283.0,7004.0
284.0,6881.0
285.0,6887.0
286.0,6506.0
287.0,6431.0
288.0,6320.0
289.0,6153.0
290.0,6263.0
291.0,6302.0
292.0,6005.0
293.0,6231.0
294.0,6022.0
295.0,6023.0
296.0,6135.0
297.0,5973.0
298.0,6118.0
299.0,6261.0
300.0,6100.0
301.0,6274.0
302.0,6241.0
303.0,6106.0
304.0,6296.0
305.0,6350.0
306.0,6378.0
307.0,6187.0
308.0,6320.0
309.0,6222.0
310.0,6382.0
311.0,6263.0
312.0,6335.0
313.0,6327.0
314.0,6314.0
315.0,6295.0
316.0,6427.0
317.0,6222.0
318.0,6104.0
319.0,6108.0
320.0,6041.0
321.0,5870.0
322.0,5848.0
323.0,5837.0
324.0,5638.0
325.0,5609.0
326.0,5408.0
327.0,5470.0
328.0,5336.0
329.0,5349.0
330.0,5269.0
331.0,4927.0
332.0,4960.0
333.0,4790.0
334.0,4803.0
335.0,4636.0
336.0,4689.0
337.0,4467.0
338.0,4513.0
339.0,4212.0
340.0,4248.0
341.0,4070.0
342.0,3912.0
343.0,4023.0
344.0,3863.0
345.0,3663.0
346.0,3642.0
347.0,3515.0
348.0,3425.0
349.0,3430.0
350.0,3288.0
351.0,3257.0
352.0,3171.0
353.0,3046.0
354.0,3104.0
355.0,3009.0
356.0,3041.0
357.0,2861.0
358.0,3007.0
359.0,3003.0
360.0,2783.0
361.0,2742.0
362.0,2778.0
363.0,2682.0
364.0,2892.0
365.0,2785.0
366.0,2738.0
367.0,2874.0
368.0,2905.0
369.0,3022.0
370.0,3024.0
371.0,3097.0
372.0,3286.0
373.0,3351.0
374.0,3595.0
375.0,3838.0
376.0,4092.0
377.0,4345.0
378.0,4658.0
379.0,5259.0
380.0,5473.0
381.0,6093.0
382.0,6513.0
383.0,6881.0
384.0,7377.0
385.0,7718.0
386.0,7967.0
387.0,8564.0
388.0,8933.0
389.0,8885.0
390.0,9136.0
391.0,9393.0
392.0,9159.0
393.0,9160.0
394.0,8834.0
395.0,8540.0
396.0,8089.0
397.0,7617.0
398.0,7339.0
399.0,6617.0
400.0,6329.0
401.0,5496.0
402.0,5002.0
403.0,4652.0
404.0,4100.0
405.0,3674.0
406.0,3296.0
407.0,3031.0
408.0,2692.0
409.0,2414.0
410.0,2254.0
411.0,2086.0
412.0,1965.0
413.0,1851.0
414.0,1792.0
415.0,1746.0
416.0,1651.0
417.0,1682.0
418.0,1627.0
419.0,1554.0
420.0,1546.0
421.0,1592.0
422.0,1624.0
423.0,1472.0
424.0,1443.0
425.0,1428.0
426.0,1471.0
427.0,1387.0
428.0,1389.0
429.0,1414.0
430.0,1304.0
431.0,1357.0
432.0,1251.0
433.0,1263.0
434.0,1218.0
435.0,1239.0
436.0,1222.0
437.0,1159.0
438.0,1156.0
439.0,1158.0
440.0,1223.0
441.0,1125.0
442.0,1100.0
443.0,1169.0
444.0,1247.0
445.0,1150.0
446.0,1231.0
447.0,1243.0
448.0,1199.0
449.0,1261.0
450.0,1214.0
451.0,1253.0
452.0,1316.0
453.0,1335.0
454.0,1317.0
455.0,1264.0
456.0,1362.0
457.0,1349.0
458.0,1312.0
459.0,1378.0
460.0,1265.0
461.0,1320.0
462.0,1312.0
463.0,1271.0
464.0,1305.0
465.0,1235.0
466.0,1179.0
467.0,1157.0
468.0,1135.0
469.0,1095.0
470.0,1084.0
471.0,1068.0
472.0,989.0
473.0,997.0
474.0,994.0
475.0,960.0
476.0,953.0
477.0,956.0
478.0,924.0
479.0,906.0
480.0,942.0
481.0,897.0
482.0,873.0
483.0,872.0
484.0,847.0
485.0,885.0
486.0,935.0
487.0,864.0
488.0,834.0
489.0,793.0
490.0,862.0
491.0,758.0
492.0,808.0
493.0,799.0
494.0,795.0
495.0,765.0
496.0,779.0
497.0,789.0
498.0,803.0
499.0,828.0
500.0,763.0
501.0,706.0
502.0,763.0
503.0,792.0
504.0,700.0
505.0,739.0
506.0,735.0
507.0,755.0
508.0,775.0
509.0,787.0
510.0,79.0
511.0,740.0
512.0,782.0
513.0,819.0
514.0,822.0
515.0,791.0
516.0,797.0
517.0,811.0
518.0,850.0
519.0,861.0
520.0,857.0
521.0,882.0
522.0,911.0
523.0,931.0
524.0,957.0
525.0,955.0
526.0,1025.0
527.0,1046.0
528.0,1037.0
529.0,1014.0
530.0,1001.0
531.0,1062.0
532.0,1119.0
533.0,1079.0
534.0,1061.0
535.0,1048.0
536.0,1061.0
537.0,1114.0
538.0,1072.0
539.0,1093.0
540.0,1047.0
541.0,1034.0
542.0,963.0
543.0,962.0
544.0,937.0
545.0,983.0
546.0,965.0
547.0,1000.0
548.0,954.0
549.0,949.0
550.0,946.0
551.0,875.0
552.0,903.0
553.0,833.0
554.0,856.0
555.0,887.0
556.0,834.0
557.0,836.0
558.0,873.0
559.0,870.0
560.0,869.0
561.0,819.0
562.0,841.0
563.0,775.0
564.0,749.0
565.0,776.0
566.0,739.0
567.0,765.0
568.0,754.0
569.0,721.0
570.0,695.0
571.0,716.0
572.0,705.0
573.0,727.0
574.0,666.0
575.0,653.0
576.0,649.0
577.0,624.0
578.0,603.0
579.0,559.0
580.0,532.0
581.0,579.0
582.0,479.0
583.0,521.0
584.0,496.0
585.0,480.0
586.0,463.0
587.0,428.0
588.0,440.0
589.0,424.0
590.0,437.0
591.0,424.0
592.0,411.0
593.0,394.0
594.0,373.0
595.0,376.0
596.0,343.0
597.0,353.0
598.0,342.0
599.0,359.0
600.0,332.0
601.0,338.0
602.0,331.0
603.0,321.0
604.0,349.0
605.0,390.0
606.0,410.0
607.0,424.0
608.0,434.0
609.0,482.0
610.0,489.0
611.0,551.0
612.0,561.0
613.0,601.0
614.0,627.0
615.0,657.0
616.0,663.0
617.0,784.0
618.0,786.0
619.0,875.0
620.0,907.0
621.0,878.0
622.0,982.0
623.0,1044.0
624.0,991.0
625.0,1058.0
626.0,1078.0
627.0,1071.0
628.0,1131.0
629.0,1039.0
630.0,1025.0
631.0,1011.0
632.0,1048.0
633.0,951.0
634.0,954.0
635.0,907.0
636.0,838.0
637.0,810.0
638.0,716.0
639.0,702.0
640.0,691.0
641.0,628.0
642.0,564.0
643.0,547.0
644.0,515.0
645.0,443.0
646.0,422.0
647.0,384.0
648.0,360.0
649.0,301.0
650.0,274.0
651.0,256.0
652.0,240.0
653.0,208.0
654.0,171.0
655.0,144.0
656.0,129.0
657.0,113.0
658.0,105.0
659.0,100.0
660.0,96.0
661.0,82.0
662.0,76.0
663.0,83.0
664.0,90.0
665.0,73.0
666.0,64.0
667.0,85.0
668.0,82.0
669.0,53.0
670.0,73.0
671.0,63.0
672.0,85.0
673.0,60.0
674.0,62.0
675.0,61.0
676.0,68.0
677.0,55.0
678.0,57.0
679.0,71.0
680.0,72.0
681.0,51.0
682.0,61.0
683.0,88.0
684.0,54.0
685.0,57.0
686.0,58.0
687.0,64.0
688.0,74.0
689.0,64.0
690.0,62.0
691.0,64.0
692.0,50.0
693.0,69.0
694.0,66.0
695.0,73.0
696.0,55.0
697.0,64.0
698.0,55.0
699.0,72.0
700.0,56.0
701.0,68.0
702.0,76.0
703.0,50.0
704.0,69.0
705.0,57.0
706.0,68.0
707.0,64.0
708.0,52.0
709.0,69.0
710.0,66.0
711.0,69.0
712.0,60.0
713.0,67.0
714.0,64.0
715.0,57.0
716.0,52.0
717.0,60.0
718.0,55.0
719.0,58.0
720.0,62.0
721.0,60.0
722.0,64.0
723.0,74.0
724.0,61.0
725.0,70.0
726.0,62.0
727.0,71.0
728.0,69.0
729.0,61.0
730.0,65.0
731.0,56.0
732.0,51.0
733.0,59.0
734.0,63.0
735.0,70.0
736.0,59.0
737.0,59.0
738.0,73.0
739.0,64.0
740.0,76.0
741.0,73.0
742.0,71.0
743.0,82.0
744.0,60.0
745.0,53.0
746.0,65.0
747.0,56.0
748.0,71.0
749.0,68.0
750.0,70.0
751.0,62.0
752.0,58.0
753.0,60.0
754.0,63.0
755.0,61.0
756.0,66.0
757.0,53.0
758.0,55.0
759.0,59.0
760.0,69.0
761.0,60.0
762.0,61.0
763.0,55.0
764.0,57.0
765.0,62.0
766.0,46.0
767.0,72.0
768.0,73.0
769.0,75.0
770.0,64.0
771.0,74.0
772.0,68.0
773.0,60.0
774.0,74.0
775.0,62.0
776.0,58.0
777.0,62.0
778.0,47.0
779.0,74.0
780.0,55.0
781.0,77.0
782.0,75.0
783.0,62.0
784.0,72.0
785.0,45.0
786.0,59.0
787.0,74.0
788.0,74.0
789.0,63.0
790.0,65.0
791.0,59.0
792.0,65.0
793.0,64.0
794.0,59.0
795.0,68.0
796.0,62.0
797.0,61.0
798.0,64.0
799.0,68.0
800.0,62.0
801.0,59.0
802.0,69.0
803.0,57.0
804.0,60.0
805.0,75.0
806.0,69.0
807.0,72.0
808.0,87.0
809.0,71.0
810.0,77.0
811.0,69.0
812.0,78.0
813.0,69.0
814.0,65.0
815.0,75.0
816.0,72.0
817.0,76.0
818.0,73.0
819.0,77.0
820.0,75.0
821.0,87.0
822.0,73.0
823.0,82.0
824.0,73.0
825.0,82.0
826.0,81.0
827.0,71.0
828.0,92.0
829.0,79.0
830.0,83.0
831.0,92.0
832.0,77.0
833.0,83.0
834.0,79.0
835.0,88.0
836.0,81.0
837.0,77.0
838.0,70.0
839.0,71.0
840.0,75.0
841.0,106.0
842.0,75.0
843.0,82.0
844.0,83.0
845.0,76.0
846.0,87.0
847.0,75.0
848.0,86.0
849.0,76.0
850.0,84.0
851.0,84.0
852.0,89.0
853.0,85.0
854.0,97.0
855.0,103.0
856.0,83.0
857.0,85.0
858.0,99.0
859.0,64.0
860.0,74.0
861.0,92.0
862.0,98.0
863.0,85.0
864.0,73.0
865.0,76.0
866.0,69.0
867.0,75.0
868.0,85.0
869.0,68.0
870.0,77.0
871.0,52.0
872.0,78.0
873.0,87.0
874.0,89.0
875.0,97.0
876.0,80.0
877.0,96.0
878.0,97.0
879.0,101.0
880.0,88.0
881.0,74.0
882.0,88.0
883.0,101.0
884.0,66.0
885.0,84.0
886.0,92.0
887.0,75.0
888.0,92.0
889.0,92.0
890.0,76.0
891.0,90.0
892.0,90.0
893.0,69.0
894.0,91.0
895.0,83.0
896.0,75.0
897.0,76.0
898.0,87.0
899.0,91.0
900.0,98.0
901.0,94.0
902.0,94.0
903.0,90.0
904.0,103.0
905.0,91.0
906.0,66.0
907.0,85.0
908.0,80.0
909.0,87.0
910.0,77.0
911.0,95.0
912.0,95.0
913.0,93.0
914.0,88.0
915.0,85.0
916.0,94.0
917.0,108.0
918.0,94.0
919.0,85.0
920.0,95.0
921.0,103.0
922.0,113.0
923.0,87.0
924.0,82.0
925.0,95.0
926.0,96.0
927.0,99.0
928.0,114.0
929.0,102.0
930.0,108.0
931.0,91.0
932.0,86.0
933.0,93.0
934.0,116.0
935.0,101.0
936.0,96.0
937.0,93.0
938.0,95.0
939.0,97.0
940.0,103.0
941.0,103.0
942.0,99.0
943.0,117.0
944.0,101.0
945.0,88.0
946.0,103.0
947.0,97.0
948.0,79.0
949.0,90.0
950.0,108.0
951.0,108.0
952.0,98.0
953.0,99.0
954.0,90.0
955.0,82.0
956.0,111.0
957.0,105.0
958.0,115.0
959.0,86.0
960.0,116.0
961.0,109.0
962.0,109.0
963.0,95.0
964.0,92.0
965.0,90.0
966.0,96.0
967.0,107.0
968.0,110.0
969.0,136.0
970.0,107.0
971.0,124.0
972.0,94.0
973.0,109.0
974.0,120.0
975.0,103.0
976.0,90.0
977.0,102.0
978.0,105.0
979.0,114.0
980.0,127.0
981.0,107.0
982.0,91.0
983.0,102.0
984.0,119.0
985.0,115.0
986.0,98.0
987.0,102.0
988.0,101.0
989.0,105.0
990.0,116.0
991.0,104.0
992.0,110.0
993.0,125.0
994.0,128.0
995.0,109.0
996.0,123.0
997.0,101.0
