 ,1
799,38
800,54
801,68
802,51
803,39
804,51
805,52
806,51
807,59
808,47
809,46
810,47
811,64
812,69
813,49
814,61
815,65
816,61
817,56
818,58
819,65
820,65
821,68
822,52
823,58
824,57
825,54
826,63
827,61
828,66
829,67
830,65
831,63
832,63
833,51
834,63
835,64
836,54
837,59
838,64
839,57
840,65
841,65
842,53
843,64
844,56
845,50
846,59
847,63
848,65
849,49
850,60
851,71
852,91
853,56
854,67
855,66
856,62
857,55
858,70
859,64
860,76
861,63
862,80
863,67
864,75
865,77
866,69
867,66
868,66
869,77
870,67
871,63
872,81
873,66
874,79
875,67
876,77
877,72
878,44
879,62
880,78
881,62
882,64
883,73
884,66
885,78
886,61
887,66
888,76
889,75
890,86
891,86
892,97
893,76
894,69
895,76
896,81
897,63
898,73
899,80
900,83
901,84
902,91
903,85
904,80
905,86
906,98
907,84
908,93
909,103
910,85
911,91
912,96
913,83
914,96
915,79
916,106
917,81
918,80
919,72
920,95
921,98
922,66
923,82
924,77
925,83
926,89
927,66
928,77
929,86
930,66
931,97
932,74
933,103
934,100
935,79
936,107
937,84
938,90
939,79
940,109
941,82
942,115
943,82
944,69
945,67
946,106
947,86
948,99
949,113
950,92
951,69
952,87
953,82
954,98
955,106
956,102
957,111
958,105
959,91
960,114
961,93
962,99
963,99
964,102
965,102
966,85
967,92
968,91
969,90
970,95
971,85
972,98
973,90
974,83
975,79
976,96
977,97
978,98
979,110
980,103
981,85
982,112
983,92
984,91
985,97
986,108
987,96
988,100
989,89
990,106
991,108
992,102
993,86
994,107
995,105
996,107
997,121
998,98
999,103
1000,120
1001,112
1002,95
1003,94
1004,114
1005,108
1006,100
1007,121
1008,117
1009,104
1010,90
1011,106
1012,102
1013,112
1014,99
1015,110
1016,120
1017,110
1018,125
1019,110
1020,120
1021,109
1022,99
1023,106
1024,112
1025,100
1026,114
1027,103
1028,90
1029,103
1030,95
1031,121
1032,102
1033,117
1034,95
1035,96
1036,94
1037,96
1038,114
1039,106
1040,128
1041,90
1042,94
1043,106
1044,107
1045,105
1046,111
1047,100
1048,108
1049,106
1050,107
1051,112
1052,114
1053,114
1054,123
1055,112
1056,106
1057,121
1058,102
1059,115
1060,104
1061,110
1062,118
1063,109
1064,99
1065,105
1066,105
1067,97
1068,124
1069,97
1070,111
1071,104
1072,129
1073,119
1074,106
1075,101
1076,118
1077,91
1078,97
1079,121
1080,114
1081,105
1082,104
1083,117
1084,126
1085,99
1086,114
1087,107
1088,118
1089,133
1090,116
1091,134
1092,113
1093,95
1094,95
1095,116
1096,100
1097,123
1098,121
1099,124
1100,131
1101,113
1102,108
1103,114
1104,114
1105,116
1106,126
1107,108
1108,103
1109,111
1110,96
1111,117
1112,110
1113,123
1114,108
1115,129
1116,114
1117,98
1118,113
1119,103
1120,120
1121,133
1122,123
1123,124
1124,111
1125,132
1126,110
1127,127
1128,134
1129,111
1130,110
1131,88
1132,95
1133,123
1134,130
1135,137
1136,121
1137,117
1138,127
1139,97
1140,113
1141,132
1142,143
1143,138
1144,128
1145,108
1146,126
1147,115
1148,118
1149,123
1150,131
1151,142
1152,130
1153,114
1154,99
1155,110
1156,118
1157,91
1158,143
1159,133
1160,122
1161,138
1162,116
1163,121
1164,125
1165,131
1166,125
1167,114
1168,127
1169,116
1170,97
1171,138
1172,116
1173,129
1174,134
1175,136
1176,112
1177,132
1178,129
1179,110
1180,115
1181,114
1182,128
1183,126
1184,131
1185,130
1186,144
1187,109
1188,110
1189,111
1190,127
1191,126
1192,112
1193,125
1194,131
1195,131
1196,124
1197,113
1198,107
1199,120
1200,111
1201,104
1202,136
1203,121
1204,112
1205,126
1206,145
1207,141
1208,118
1209,100
1210,116
1211,115
1212,117
1213,104
1214,95
1215,131
1216,106
1217,113
1218,102
1219,120
1220,122
1221,102
1222,115
1223,120
1224,103
1225,120
1226,119
1227,116
1228,123
1229,124
1230,106
1231,129
1232,126
1233,116
1234,116
1235,145
1236,109
1237,114
1238,124
1239,129
1240,131
1241,121
1242,119
1243,99
1244,99
1245,127
1246,121
1247,123
1248,126
1249,130
1250,116
1251,113
1252,119
1253,114
1254,103
1255,126
1256,116
1257,123
1258,111
1259,117
1260,131
1261,111
1262,113
1263,127
1264,105
1265,124
1266,108
1267,124
1268,135
1269,126
1270,136
1271,126
1272,110
1273,109
1274,103
1275,111
1276,130
1277,131
1278,141
1279,115
1280,112
1281,98
1282,122
1283,105
1284,118
1285,124
1286,107
1287,134
1288,107
1289,131
1290,119
1291,133
1292,138
1293,113
1294,129
1295,102
1296,127
1297,115
1298,119
1299,135
1300,121
1301,114
1302,120
1303,109
1304,99
1305,117
1306,99
1307,130
1308,97
1309,140
1310,129
1311,125
1312,112
1313,133
1314,120
1315,121
1316,120
1317,122
1318,106
1319,125
1320,99
1321,102
1322,114
1323,126
1324,111
1325,115
1326,115
1327,118
1328,111
1329,104
1330,145
1331,145
1332,150
1333,118
1334,105
1335,115
1336,118
1337,121
1338,105
1339,120
1340,119
1341,119
1342,115
1343,111
1344,121
1345,127
1346,110
1347,109
1348,124
1349,145
1350,107
1351,135
1352,130
1353,121
1354,127
1355,106
1356,118
1357,114
1358,103
1359,124
1360,116
1361,111
1362,120
1363,124
1364,100
1365,121
1366,120
1367,108
1368,137
1369,122
1370,126
1371,120
1372,131
1373,151
1374,128
1375,113
1376,140
1377,150
1378,122
1379,144
1380,106
1381,102
1382,112
1383,124
1384,110
1385,115
1386,105
1387,120
1388,104
1389,119
1390,123
1391,124
1392,136
1393,107
1394,127
1395,140
1396,116
1397,127
1398,124
1399,116
1400,114
1401,136
1402,120
1403,119
1404,108
1405,120
1406,99
1407,110
1408,122
1409,135
1410,110
1411,121
1412,124
1413,127
1414,139
1415,115
1416,118
1417,119
1418,121
1419,126
1420,123
1421,108
1422,128
1423,144
1424,111
1425,128
1426,110
1427,123
1428,107
1429,103
1430,121
1431,120
1432,122
1433,117
1434,126
1435,130
1436,133
1437,106
1438,121
1439,109
1440,109
1441,114
1442,125
1443,101
1444,97
1445,138
1446,126
1447,138
1448,114
1449,111
1450,115
1451,121
1452,103
1453,130
1454,126
1455,116
1456,120
1457,110
1458,126
1459,129
1460,110
1461,116
1462,113
1463,137
1464,114
1465,122
1466,108
1467,102
1468,119
1469,114
1470,102
1471,113
1472,100
1473,146
1474,115
1475,140
1476,127
1477,116
1478,120
1479,124
1480,117
1481,122
1482,121
1483,111
1484,124
1485,131
1486,113
1487,116
1488,108
1489,121
1490,109
1491,119
1492,111
1493,122
1494,116
1495,130
1496,118
1497,131
1498,114
1499,127
1500,120
1501,117
1502,105
1503,89
1504,110
1505,121
1506,125
1507,121
1508,123
1509,111
1510,103
1511,121
1512,113
1513,100
1514,112
1515,99
1516,117
1517,126
1518,139
1519,132
1520,123
1521,118
1522,105
1523,123
1524,113
1525,113
1526,141
1527,104
1528,104
1529,137
1530,103
1531,115
1532,99
1533,123
1534,116
1535,118
1536,94
1537,121
1538,117
1539,112
1540,112
1541,108
1542,140
1543,111
1544,117
1545,104
1546,102
1547,121
1548,103
1549,106
1550,97
1551,130
1552,114
1553,89
1554,109
1555,91
1556,123
1557,108
1558,107
1559,119
1560,119
1561,107
1562,117
1563,99
1564,115
1565,105
1566,116
1567,106
1568,99
1569,108
1570,103
1571,124
1572,101
1573,105
1574,98
1575,101
1576,92
1577,86
1578,89
1579,102
1580,106
1581,100
1582,115
1583,102
1584,107
1585,103
1586,98
1587,103
1588,99
1589,102
1590,73
1591,98
1592,84
1593,92
1594,92
1595,111
1596,104
1597,95
1598,117
1599,95
1600,81
1601,100
1602,102
1603,94
1604,95
1605,119
1606,88
1607,91
1608,104
1609,103
1610,106
1611,90
1612,100
1613,95
1614,84
1615,103
1616,83
1617,90
1618,92
1619,87
1620,96
1621,119
1622,120
1623,93
1624,86
1625,93
1626,91
1627,91
1628,103
1629,83
1630,86
1631,90
1632,83
1633,87
1634,107
1635,96
1636,93
1637,90
1638,77
1639,90
1640,87
1641,81
1642,82
1643,102
1644,86
1645,77
1646,97
1647,90
1648,86
1649,75
1650,87
1651,79
1652,84
1653,81
1654,86
1655,82
1656,68
1657,85
1658,83
1659,74
1660,86
1661,77
1662,87
1663,104
1664,100
1665,93
1666,79
1667,86
1668,78
1669,74
1670,79
1671,71
1672,80
1673,98
1674,83
1675,72
1676,72
1677,85
1678,88
1679,78
1680,79
1681,64
1682,85
1683,90
1684,91
1685,91
1686,79
1687,79
1688,78
1689,75
1690,63
1691,66
1692,77
1693,62
1694,80
1695,84
1696,71
1697,73
1698,92
1699,82
1700,82
1701,72
1702,67
1703,86
1704,75
1705,72
1706,59
1707,77
1708,94
1709,74
1710,87
1711,69
1712,90
1713,69
1714,72
1715,72
1716,70
1717,80
1718,63
1719,84
1720,64
1721,67
1722,64
1723,65
1724,73
1725,65
1726,78
1727,67
1728,68
1729,61
1730,66
1731,71
1732,57
1733,60
1734,57
1735,51
1736,57
1737,60
1738,69
1739,66
1740,81
1741,70
1742,66
1743,68
1744,76
1745,66
1746,80
1747,72
1748,80
1749,70
1750,73
1751,70
1752,57
1753,59
1754,63
1755,60
1756,60
1757,60
1758,66
1759,69
1760,57
1761,63
1762,65
1763,63
1764,70
1765,60
1766,65
1767,64
1768,62
1769,56
1770,69
1771,82
1772,71
1773,62
1774,66
1775,59
1776,70
1777,69
1778,74
1779,69
1780,50
1781,58
1782,47
1783,68
1784,54
1785,58
1786,67
1787,66
1788,81
1789,71
1790,62
1791,64
1792,56
1793,57
1794,78
1795,69
1796,67
1797,51
1798,66
1799,61
1800,39
1801,70
1802,58
1803,61
1804,65
1805,56
1806,64
1807,57
1808,55
1809,64
1810,52
1811,74
1812,64
1813,59
1814,51
1815,51
1816,52
1817,54
1818,52
1819,65
1820,50
1821,48
1822,58
1823,58
1824,56
1825,50
1826,58
1827,63
1828,63
1829,75
1830,55
1831,59
1832,59
1833,74
1834,50
1835,51
1836,60
1837,53
1838,46
1839,59
1840,66
1841,53
1842,78
1843,38
1844,52
1845,41
1846,51
1847,51
1848,49
1849,62
1850,54
1851,51
1852,56
1853,44
1854,60
1855,55
1856,29
1857,51
1858,51
1859,45
1860,55
1861,53
1862,65
1863,47
1864,60
1865,53
1866,53
1867,43
1868,53
1869,50
1870,64
1871,62
1872,61
1873,46
1874,63
1875,48
1876,64
1877,50
1878,50
1879,57
1880,50
1881,54
1882,48
1883,46
1884,41
1885,51
1886,55
1887,53
1888,47
1889,46
1890,41
1891,55
1892,61
1893,59
1894,40
1895,61
1896,81
1897,56
1898,53
1899,49
1900,50
1901,44
1902,40
1903,56
1904,52
1905,54
1906,54
1907,48
1908,52
1909,44
1910,50
1911,54
1912,50
1913,41
1914,55
1915,51
1916,56
1917,56
1918,38
1919,47
1920,45
1921,66
1922,44
1923,53
1924,54
1925,57
1926,44
1927,33
1928,52
1929,48
1930,45
1931,60
1932,63
1933,55
1934,46
1935,55
1936,60
1937,51
1938,55
1939,46
1940,45
1941,52
1942,43
1943,51
1944,49
1945,45
1946,50
1947,45
1948,42
1949,53
1950,50
1951,44
1952,59
1953,56
1954,40
1955,41
1956,46
1957,50
1958,51
1959,41
1960,51
1961,55
1962,60
1963,53
1964,51
1965,40
1966,46
1967,45
1968,50
1969,45
1970,47
1971,49
1972,53
1973,42
1974,46
1975,46
1976,58
1977,48
1978,50
1979,44
1980,49
1981,52
1982,52
1983,50
1984,48
1985,48
1986,58
1987,49
1988,49
1989,44
1990,51
1991,45
1992,47
1993,54
1994,35
1995,48
1996,47
1997,52
1998,54
1999,55
2000,49
2001,39
2002,54
2003,48
2004,54
2005,37
2006,39
2007,42
2008,46
2009,30
2010,43
2011,40
2012,42
2013,40
2014,53
2015,36
2016,52
2017,51
2018,46
2019,46
2020,52
2021,44
2022,45
2023,47
2024,35
2025,56
2026,48
2027,54
2028,42
2029,49
2030,40
2031,40
2032,48
2033,54
2034,39
2035,49
2036,48
2037,37
2038,60
2039,51
2040,52
2041,51
2042,44
2043,47
2044,53
2045,41
2046,45
2047,46
2048,43
2049,49
2050,45
2051,50
2052,38
2053,42
2054,43
2055,50
2056,47
2057,37
2058,59
2059,46
2060,48
2061,52
2062,40
2063,49
2064,49
2065,62
2066,52
2067,64
2068,41
2069,47
2070,47
2071,42
2072,39
2073,47
2074,39
2075,45
2076,52
2077,23
2078,38
2079,44
2080,31
2081,46
2082,37
2083,43
2084,45
2085,30
2086,43
2087,50
2088,44
2089,41
2090,44
2091,44
2092,60
2093,43
2094,37
2095,28
2096,51
2097,34
2098,27
2099,32
2100,36
2101,41
2102,46
2103,43
2104,30
2105,49
2106,41
2107,43
2108,39
2109,57
2110,38
2111,39
2112,35
2113,34
2114,49
2115,42
2116,38
2117,53
2118,41
2119,37
2120,39
2121,57
2122,51
2123,44
2124,49
2125,52
2126,37
2127,50
2128,50
2129,42
2130,48
2131,37
2132,29
2133,45
2134,47
2135,39
2136,43
2137,37
2138,41
2139,45
2140,38
2141,46
2142,47
2143,51
2144,61
2145,39
2146,44
2147,34
2148,38
2149,42
2150,45
2151,35
2152,38
2153,26
2154,57
2155,40
2156,46
2157,34
2158,46
2159,43
2160,41
2161,37
2162,39
2163,47
2164,50
2165,44
2166,42
2167,41
2168,44
2169,42
2170,45
2171,35
2172,42
2173,43
2174,35
2175,48
2176,44
2177,43
2178,48
2179,31
2180,42
2181,48
2182,42
2183,38
2184,49
2185,49
2186,38
2187,40
2188,41
2189,53
2190,54
2191,38
2192,46
2193,47
2194,37
2195,40
2196,55
2197,47
2198,37
2199,44
2200,40
2201,49
2202,45
2203,50
2204,50
2205,46
2206,51
2207,64
2208,63
2209,48
2210,38
2211,51
2212,51
2213,53
2214,51
2215,49
2216,44
2217,46
2218,41
2219,46
2220,45
2221,40
2222,64
2223,57
2224,59
2225,57
2226,62
2227,59
2228,53
2229,56
2230,66
2231,50
2232,54
2233,56
2234,52
2235,66
2236,58
2237,54
2238,62
2239,51
2240,73
2241,74
2242,78
2243,51
2244,74
2245,68
2246,84
2247,83
2248,87
2249,82
2250,80
2251,72
2252,78
2253,99
2254,74
2255,68
2256,80
2257,75
2258,87
2259,83
2260,69
2261,92
2262,86
2263,81
2264,78
2265,106
2266,75
2267,105
2268,104
2269,120
2270,82
2271,106
2272,98
2273,118
2274,96
2275,92
2276,101
2277,113
2278,122
2279,99
2280,127
2281,112
2282,121
2283,113
2284,110
2285,116
2286,114
2287,129
2288,149
2289,129
2290,144
2291,132
2292,121
2293,130
2294,139
2295,146
2296,141
2297,185
2298,138
2299,149
2300,160
2301,141
2302,141
2303,159
2304,161
2305,165
2306,192
2307,176
2308,171
2309,166
2310,195
2311,205
2312,183
2313,183
2314,180
2315,204
2316,203
2317,192
2318,218
2319,213
2320,205
2321,198
2322,196
2323,227
2324,222
2325,229
2326,214
2327,219
2328,244
2329,269
2330,247
2331,253
2332,263
2333,251
2334,289
2335,272
2336,244
2337,251
2338,274
2339,275
2340,257
2341,269
2342,306
2343,281
2344,277
2345,279
2346,278
2347,284
2348,293
2349,344
2350,311
2351,402
2352,360
2353,344
2354,342
2355,338
2356,330
2357,357
2358,323
2359,333
2360,360
2361,379
2362,375
2363,340
2364,372
2365,360
2366,394
2367,369
2368,373
2369,397
2370,393
2371,398
2372,433
2373,433
2374,376
2375,406
2376,351
2377,399
2378,437
2379,415
2380,442
2381,464
2382,397
2383,439
2384,443
2385,453
2386,467
2387,444
2388,453
2389,428
2390,456
2391,476
2392,494
2393,503
2394,553
2395,541
2396,474
2397,496
2398,475
2399,486
2400,460
2401,506
2402,506
2403,518
2404,506
2405,508
2406,487
2407,548
2408,480
2409,550
2410,524
2411,549
2412,567
2413,542
2414,597
2415,559
2416,547
2417,559
2418,581
2419,558
2420,501
2421,587
2422,546
2423,561
2424,544
2425,559
2426,536
2427,522
2428,561
2429,555
2430,561
2431,563
2432,593
2433,600
2434,630
2435,591
2436,648
2437,618
2438,545
2439,551
2440,546
2441,563
2442,595
2443,538
2444,548
2445,567
2446,557
2447,562
2448,542
2449,541
2450,536
2451,583
2452,587
2453,569
2454,565
2455,587
2456,598
2457,618
2458,574
2459,553
2460,589
2461,522
2462,572
2463,559
2464,524
2465,532
2466,569
2467,543
2468,541
2469,530
2470,528
2471,522
2472,530
2473,518
2474,523
2475,590
2476,569
2477,579
2478,583
2479,509
2480,537
2481,515
2482,478
2483,521
2484,486
2485,483
2486,516
2487,491
2488,513
2489,472
2490,493
2491,500
2492,490
2493,477
2494,452
2495,511
2496,508
2497,513
2498,507
2499,439
2500,452
2501,481
2502,455
2503,430
2504,429
2505,427
2506,435
2507,435
2508,406
2509,402
2510,407
2511,404
2512,380
2513,405
2514,372
2515,383
2516,436
2517,432
2518,370
2519,416
2520,393
2521,381
2522,363
2523,362
2524,358
2525,356
2526,335
2527,322
2528,305
2529,344
2530,325
2531,306
2532,267
2533,351
2534,302
2535,323
2536,321
2537,311
2538,309
2539,307
2540,291
2541,284
2542,272
2543,280
2544,257
2545,242
2546,246
2547,236
2548,256
2549,249
2550,257
2551,256
2552,249
2553,231
2554,206
2555,219
2556,204
2557,225
2558,232
2559,251
2560,239
2561,226
2562,202
2563,216
2564,211
2565,188
2566,180
2567,178
2568,171
2569,171
2570,175
2571,194
2572,186
2573,176
2574,160
2575,171
2576,163
2577,140
2578,160
2579,169
2580,180
2581,147
2582,168
2583,129
2584,151
2585,130
2586,129
2587,128
2588,124
2589,127
2590,137
2591,123
2592,117
2593,132
2594,110
2595,108
2596,107
2597,97
2598,105
2599,99
2600,95
2601,115
2602,102
2603,97
2604,91
2605,80
2606,107
2607,77
2608,102
2609,79
2610,73
2611,85
2612,75
2613,82
2614,72
2615,88
2616,82
2617,78
2618,65
2619,71
2620,84
2621,56
2622,72
2623,69
2624,69
2625,59
2626,57
2627,75
2628,60
2629,49
2630,63
2631,60
2632,55
2633,56
2634,47
2635,46
2636,52
2637,53
2638,60
2639,39
2640,54
2641,60
2642,53
2643,57
2644,35
2645,55
2646,46
2647,44
2648,42
2649,52
2650,43
2651,57
2652,30
2653,49
2654,40
2655,40
2656,35
2657,32
2658,39
2659,29
2660,36
2661,37
2662,37
2663,45
2664,33
2665,37
2666,38
2667,42
2668,24
2669,31
2670,38
2671,35
2672,37
2673,30
2674,35
2675,31
2676,26
2677,32
2678,33
2679,32
2680,37
2681,33
2682,38
2683,36
2684,25
2685,31
2686,29
2687,34
2688,38
2689,26
2690,36
2691,23
2692,40
2693,26
2694,33
2695,27
2696,28
2697,26
2698,22
2699,33
2700,16
2701,19
2702,32
2703,41
2704,24
2705,23
2706,38
2707,20
2708,25
2709,29
2710,32
2711,33
2712,41
2713,33
2714,12
2715,27
2716,26
2717,26
2718,31
2719,29
2720,26
2721,30
2722,36
2723,32
2724,26
2725,26
2726,37
2727,33
2728,27
2729,22
2730,31
2731,45
2732,32
2733,26
2734,28
2735,29
2736,29
2737,27
2738,27
2739,26
2740,23
2741,29
2742,32
2743,27
2744,22
2745,29
2746,28
2747,34
2748,25
2749,35
2750,14
2751,30
2752,34
2753,34
2754,27
2755,29
2756,31
2757,30
2758,27
2759,24
2760,42
2761,18
2762,24
2763,27
2764,29
2765,27
2766,30
2767,29
2768,37
2769,33
2770,25
2771,25
2772,23
2773,29
2774,29
2775,25
2776,36
2777,23
2778,29
2779,22
2780,18
2781,40
2782,25
2783,23
2784,27
2785,29
2786,27
2787,26
2788,31
2789,28
2790,32
2791,22
2792,34
2793,32
2794,25
2795,33
2796,24
2797,27
2798,27
2799,29
2800,19
2801,23
2802,28
2803,24
2804,13
2805,26
2806,32
2807,28
2808,26
2809,22
2810,29
2811,19
2812,24
2813,27
2814,26
2815,22
2816,31
2817,29
2818,23
2819,30
2820,29
2821,24
2822,32
2823,28
2824,25
2825,31
2826,33
2827,24
2828,26
2829,26
2830,31
2831,22
2832,26
2833,28
2834,19
2835,30
2836,25
2837,31
2838,25
2839,36
2840,34
2841,22
2842,30
2843,31
2844,19
2845,24
2846,24
2847,28
2848,31
2849,23
2850,27
2851,26
2852,30
2853,28
2854,23
2855,21
2856,21
2857,27
2858,33
2859,30
2860,32
2861,24
2862,24
2863,27
2864,33
2865,30
2866,30
2867,25
2868,27
2869,36
2870,38
2871,26
2872,25
2873,29
2874,19
2875,23
2876,41
2877,28
2878,30
2879,29
2880,39
2881,19
2882,28
2883,30
2884,24
2885,25
2886,18
2887,36
2888,18
