 ,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,2
175,0
176,1
177,0
178,0
179,1
180,1
181,2
182,0
183,1
184,0
185,2
186,1
187,3
188,2
189,0
190,2
191,0
192,7
193,5
194,6
195,4
196,10
197,9
198,12
199,13
200,10
201,13
202,17
203,21
204,20
205,25
206,26
207,29
208,43
209,41
210,37
211,50
212,52
213,71
214,59
215,81
216,85
217,97
218,95
219,137
220,162
221,194
222,215
223,245
224,279
225,337
226,411
227,436
228,484
229,600
230,623
231,604
232,708
233,791
234,876
235,878
236,964
237,970
238,956
239,1010
240,1002
241,1056
242,1054
243,1090
244,945
245,1094
246,1141
247,1012
248,1044
249,1148
250,1074
251,1074
252,1077
253,1052
254,1075
255,1136
256,1046
257,960
258,1107
259,1023
260,1043
261,1109
262,1111
263,1067
264,1147
265,1053
266,1103
267,1029
268,1068
269,1085
270,969
271,1072
272,1057
