 ,0
1,2
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,2
22,1
23,0
24,2
25,0
26,1
27,0
28,2
29,0
30,0
31,2
32,0
33,1
34,0
35,0
36,0
37,4
38,3
39,1
40,1
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,2
49,1
50,0
51,2
52,1
53,0
54,0
55,2
56,1
57,1
58,2
59,1
60,4
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,3
70,0
71,1
72,3
73,1
74,2
75,0
76,1
77,1
78,0
79,0
80,3
81,2
82,1
83,1
84,2
85,1
86,1
87,2
88,2
89,0
90,2
91,6
92,1
93,0
94,4
95,2
96,1
97,4
98,4
99,3
100,2
101,1
102,1
103,2
104,3
105,5
106,1
107,2
108,6
109,0
110,1
111,4
112,1
113,1
114,1
115,3
116,7
117,3
118,3
119,4
120,4
121,2
122,0
123,2
124,3
125,2
126,2
127,3
128,1
129,3
130,0
131,2
132,3
133,1
134,3
135,1
136,2
137,1
138,0
139,0
140,3
141,1
142,1
143,1
144,0
145,0
146,1
147,3
148,4
149,4
150,0
151,6
152,3
153,7
154,4
155,4
156,11
157,8
158,10
159,19
160,14
161,20
162,10
163,15
164,11
165,16
166,21
167,25
168,22
169,31
170,31
171,32
172,56
173,46
174,41
175,53
176,69
177,57
178,83
179,78
180,77
181,77
182,96
183,110
184,120
185,111
186,126
187,107
188,128
189,163
190,137
191,180
192,181
193,176
194,190
195,195
196,229
197,213
198,213
199,220
200,210
201,221
202,221
203,237
204,222
205,248
206,207
207,229
208,216
209,204
210,221
211,226
212,216
213,235
214,214
215,231
216,227
217,185
218,201
219,201
220,207
221,211
222,187
223,197
224,162
225,154
226,173
227,126
228,155
229,143
230,149
231,110
232,120
233,113
234,105
235,88
236,83
237,71
238,80
239,71
240,62
241,56
242,61
243,54
244,55
245,38
246,43
247,34
248,37
249,41
250,29
251,41
252,35
253,47
254,44
255,36
256,36
257,50
258,56
259,63
260,41
261,66
262,72
263,62
264,76
265,78
266,65
267,89
268,115
269,105
270,108
271,119
272,110
273,117
274,134
275,126
276,150
277,125
278,161
279,152
280,187
281,194
282,174
283,159
284,156
285,171
286,192
287,195
288,174
289,168
290,146
291,154
292,193
293,157
294,157
295,196
296,164
297,179
298,175
299,170
300,142
301,165
302,139
303,169
304,165
305,125
306,159
307,128
308,110
309,111
310,146
311,121
312,126
313,104
314,93
315,70
316,91
317,83
318,91
319,94
320,78
321,79
322,60
323,63
324,54
325,51
326,41
327,46
328,43
329,46
330,37
331,27
332,40
333,25
334,26
335,27
336,21
337,24
338,20
339,26
340,24
341,18
342,31
343,21
344,36
345,32
346,29
347,30
348,36
349,42
350,34
351,39
352,52
353,41
354,49
355,43
356,70
357,58
358,66
359,72
360,74
361,86
362,79
363,82
364,74
365,84
366,101
367,103
368,94
369,102
370,92
371,109
372,99
373,113
374,103
375,115
376,117
377,120
378,120
379,121
380,124
381,132
382,121
383,114
384,122
385,131
386,114
387,136
388,97
389,121
390,108
391,108
392,111
393,102
394,101
395,102
396,114
397,100
398,97
399,106
400,94
401,80
402,114
403,77
404,86
405,67
406,78
407,60
408,56
409,53
410,73
411,63
412,45
413,42
414,39
415,37
416,30
417,29
418,25
419,26
420,17
421,24
422,16
423,19
424,20
425,16
426,14
427,23
428,17
429,18
430,16
431,14
432,16
433,13
434,20
435,18
436,16
437,18
438,16
439,27
440,25
441,27
442,16
443,29
444,35
445,36
446,26
447,28
448,32
449,31
450,35
451,37
452,52
453,35
454,54
455,53
456,42
457,30
458,53
459,39
460,58
461,68
462,53
463,57
464,62
465,49
466,71
467,45
468,76
469,77
470,87
471,64
472,64
473,61
474,71
475,71
476,84
477,70
478,61
479,66
480,72
481,70
482,86
483,70
484,79
485,73
486,73
487,57
488,81
489,57
490,72
491,43
492,64
493,41
494,55
495,44
496,48
497,29
498,33
499,32
500,29
501,34
502,37
503,29
504,38
505,31
506,32
507,19
508,19
509,26
510,27
511,17
512,23
513,11
514,12
515,12
516,16
517,13
518,11
519,6
520,17
521,13
522,6
523,8
524,11
525,6
526,15
527,6
528,9
529,5
530,13
531,9
532,2
533,4
534,6
535,11
536,9
537,6
538,11
539,13
540,7
541,15
542,12
543,9
544,13
545,15
546,14
547,20
548,12
549,13
550,14
551,14
552,18
553,8
554,25
555,25
556,17
557,23
558,20
559,25
560,29
561,28
562,21
563,23
564,30
565,29
566,32
567,29
568,30
569,20
570,23
571,31
572,24
573,29
574,34
575,29
576,28
577,23
578,19
579,24
580,30
581,18
582,21
583,21
584,21
585,21
586,26
587,18
588,25
589,19
590,15
591,14
592,12
593,22
594,20
595,13
596,14
597,12
598,11
599,9
600,13
601,10
602,6
603,7
604,11
605,13
606,14
607,5
608,6
609,5
610,8
611,2
612,6
613,5
614,2
615,4
616,4
617,4
618,2
619,5
620,4
621,2
622,0
623,1
624,3
625,8
626,3
627,4
628,3
629,3
630,3
631,3
632,5
633,2
634,4
635,2
636,3
637,5
638,4
639,3
640,6
641,1
642,2
643,2
644,8
645,6
646,9
647,3
648,5
649,6
650,6
651,5
652,3
653,12
654,4
655,10
656,7
657,8
658,7
659,11
660,9
661,4
662,7
663,4
664,7
665,6
666,11
667,6
668,8
669,8
670,5
671,6
672,1
673,6
674,4
675,7
676,8
677,3
678,9
679,5
680,6
681,3
682,4
683,3
684,5
685,2
686,7
687,8
688,1
689,6
690,2
691,4
692,2
693,6
694,4
695,1
696,2
697,1
698,2
699,4
700,4
701,2
702,1
703,3
704,2
705,1
706,1
707,1
708,3
709,3
710,3
711,3
712,3
713,1
714,1
715,3
716,2
717,2
718,2
719,2
720,4
721,2
722,1
723,2
724,2
725,2
726,1
727,3
728,0
729,3
730,4
731,1
732,4
733,0
734,4
735,1
736,5
737,2
738,3
739,3
740,2
741,3
742,2
743,4
744,3
745,1
746,0
747,3
748,4
749,6
750,4
751,0
752,4
753,4
754,5
755,4
756,2
757,3
758,3
759,4
760,5
761,2
762,0
763,4
764,2
765,0
766,1
767,3
768,2
769,4
770,2
771,2
772,1
773,3
774,3
775,5
776,3
777,3
778,3
779,2
780,1
781,4
782,1
783,2
784,1
785,1
786,2
787,2
788,3
789,4
790,3
791,6
792,3
793,4
794,1
795,1
796,1
797,2
798,5
799,2
800,2
801,2
802,2
803,2
804,3
805,1
806,5
807,4
808,2
809,2
810,6
811,1
812,3
813,4
814,7
815,3
816,2
817,3
818,4
819,2
820,7
821,8
822,6
823,6
824,6
825,4
826,1
827,5
828,4
829,12
830,5
831,4
832,7
833,7
834,12
835,5
836,7
837,5
838,5
839,4
840,10
841,11
842,15
843,2
844,3
845,13
846,3
847,12
848,11
849,8
850,11
851,7
852,8
853,6
854,12
855,5
856,14
857,11
858,7
859,10
860,8
861,7
862,10
863,10
864,8
865,5
866,6
867,6
868,8
869,7
870,5
871,3
872,6
873,7
874,8
875,6
876,6
877,7
878,7
879,8
880,4
881,8
882,9
883,4
884,8
885,11
886,4
887,6
888,6
889,4
890,4
891,10
892,8
893,4
894,8
895,11
896,7
897,6
898,7
899,13
900,12
901,12
902,10
903,12
904,14
905,7
906,9
907,17
908,13
909,17
910,18
911,13
912,10
913,16
914,17
915,12
916,11
917,16
918,21
919,16
920,18
921,14
922,14
923,22
924,20
925,21
926,21
927,27
928,32
929,26
930,26
931,18
932,25
933,24
934,28
935,22
936,15
937,30
938,23
939,31
940,25
941,22
942,25
943,24
944,28
945,28
946,30
947,29
948,35
949,32
950,29
951,19
952,30
953,30
954,18
955,25
956,24
957,28
958,27
959,13
960,22
961,28
962,18
963,19
964,24
965,27
966,22
967,23
968,14
969,31
970,22
971,27
972,18
973,19
974,21
975,24
976,20
977,21
978,21
979,21
980,19
981,21
982,23
983,24
984,23
985,24
986,34
987,20
988,34
989,30
990,20
991,20
992,20
993,23
994,34
995,31
996,23
997,32
998,31
999,31
1000,24
1001,26
1002,24
1003,20
1004,29
1005,31
1006,30
1007,40
1008,30
1009,35
1010,28
1011,41
1012,44
1013,29
1014,27
1015,39
1016,52
1017,48
1018,49
1019,44
1020,54
1021,56
1022,63
1023,66
1024,46
1025,67
1026,73
1027,53
1028,46
1029,58
1030,58
1031,61
1032,67
1033,65
1034,71
1035,61
1036,66
1037,82
1038,57
1039,77
1040,62
1041,61
1042,65
1043,71
1044,69
1045,66
1046,59
1047,77
1048,74
1049,72
1050,63
1051,65
1052,75
1053,74
1054,84
1055,91
1056,77
1057,62
1058,59
1059,81
1060,83
1061,77
1062,84
1063,60
1064,69
1065,78
1066,69
1067,70
1068,69
1069,76
1070,78
1071,71
1072,74
1073,71
1074,58
1075,76
1076,56
1077,60
1078,65
1079,59
1080,65
1081,69
1082,50
1083,62
1084,66
1085,65
1086,66
1087,75
1088,79
1089,64
1090,66
1091,75
1092,76
1093,54
1094,61
1095,66
1096,78
1097,66
1098,59
1099,75
1100,58
1101,95
1102,64
1103,70
1104,73
1105,99
1106,68
1107,80
1108,69
1109,76
1110,100
1111,88
1112,98
1113,100
1114,81
1115,96
1116,88
1117,105
1118,101
1119,106
1120,92
1121,115
1122,97
1123,97
1124,109
1125,108
1126,107
1127,96
1128,105
1129,104
1130,109
1131,120
1132,113
1133,103
1134,111
1135,105
1136,116
1137,112
1138,102
1139,110
1140,91
1141,128
1142,107
1143,119
1144,135
1145,115
1146,107
1147,116
1148,118
1149,105
1150,134
1151,113
1152,118
1153,128
1154,100
1155,114
1156,126
1157,126
1158,104
1159,102
1160,107
1161,106
1162,103
1163,126
1164,101
1165,108
1166,118
1167,114
1168,112
1169,113
1170,104
1171,109
1172,104
1173,118
1174,103
1175,113
1176,95
1177,97
1178,108
1179,111
1180,99
1181,104
1182,97
1183,108
1184,119
1185,114
1186,104
1187,92
1188,109
1189,93
1190,112
1191,118
1192,108
1193,103
1194,123
1195,123
1196,102
1197,120
1198,120
1199,109
1200,127
1201,109
1202,105
1203,136
1204,126
1205,98
1206,127
1207,131
1208,111
1209,121
1210,100
1211,123
1212,134
1213,91
1214,121
1215,118
1216,117
1217,157
1218,122
1219,127
